# MergeLife cross-engine conformance vectors.
# Generated by conformance/gen_vectors.py -- do not edit by hand.
# Contract: conformance/README.md
# rule rows cols seed steps fnv1a64
e542-5f79-9341-f31e-6c6b-7f08-8773-7068 37 53 1000 1 e5aa457bd88722b4
e542-5f79-9341-f31e-6c6b-7f08-8773-7068 53 37 1001 60 84f61656af078ade
a07f-c000-0000-0000-0000-0000-ff80-807f 37 53 1002 1 155477faf8b9b530
a07f-c000-0000-0000-0000-0000-ff80-807f 53 37 1003 60 4091e526b47b7b2b
6eb6-ba3d-70b4-ac6f-baae-2604-8529-8998 37 53 1004 1 8909f15d50c54427
6eb6-ba3d-70b4-ac6f-baae-2604-8529-8998 53 37 1005 60 2953cfa4f276bd14
1c48-9004-8831-41be-2804-8f50-9901-db18 37 53 1006 1 b89c28e9289ff1d0
1c48-9004-8831-41be-2804-8f50-9901-db18 53 37 1007 60 e5920dfca879d8a0
7e18-62ac-5c42-109e-45a1-9ff2-b7d8-64a1 37 53 1008 1 6e53004d3ee92b7e
7e18-62ac-5c42-109e-45a1-9ff2-b7d8-64a1 53 37 1009 60 74479a9081b7b2ce
2152-9b71-abb7-162a-45ff-dd03-fe15-957e 37 53 1010 1 d4060a6c195ed7db
2152-9b71-abb7-162a-45ff-dd03-fe15-957e 53 37 1011 60 b6770e3c89a7c58b
